ClientID,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,engagement_score,TermDepositSubscribed,ResponsePropensity
CIF000001,23,blue-collar,divorced,unknown,no,-726.58,yes,no,unknown,19,sep,231,1,-1,3,other,0.8661,1,0.1024
CIF000002,65,student,divorced,tertiary,no,4273.07,yes,yes,telephone,14,feb,1270,3,19,3,failure,0.4294,1,0.9643
CIF000003,58,entrepreneur,single,unknown,no,1603.84,yes,no,telephone,10,jul,1291,5,-1,1,success,0.4921,1,0.638
CIF000004,45,management,single,unknown,no,651.61,no,no,cellular,13,aug,1112,3,18,0,success,0.0835,1,0.0662
CIF000005,44,entrepreneur,married,unknown,no,1181.45,no,no,telephone,27,feb,1640,6,7,4,failure,0.8371,1,0.4435
CIF000006,71,entrepreneur,single,tertiary,no,2169.37,no,no,cellular,11,oct,8,6,-1,4,other,0.1703,1,0.222
CIF000007,23,admin.,divorced,unknown,no,3350.44,yes,no,telephone,30,may,542,4,-1,1,failure,0.4106,1,0.4905
CIF000008,61,management,divorced,primary,no,-1499.14,yes,no,telephone,5,mar,331,3,-1,5,failure,0.8403,1,0.247
CIF000009,30,entrepreneur,divorced,tertiary,no,-1624.76,no,no,telephone,5,sep,1038,1,-1,1,success,0.4578,0,0.8318
CIF000010,23,student,single,unknown,no,4814.04,no,no,unknown,10,jun,1143,6,-1,5,other,0.9312,1,0.7211
CIF000011,50,entrepreneur,single,secondary,no,262.99,no,yes,unknown,1,jul,1616,7,29,0,other,0.2093,1,0.9066
CIF000012,78,student,married,unknown,yes,-2000.0,yes,no,telephone,27,jul,683,4,-1,3,failure,0.7152,1,0.198
CIF000013,63,blue-collar,divorced,tertiary,no,2831.44,yes,yes,telephone,11,aug,424,4,13,0,unknown,0.978,1,0.3854
CIF000014,65,blue-collar,divorced,secondary,no,2890.11,no,no,cellular,4,may,1663,6,-1,1,failure,0.5496,1,0.8055
CIF000015,62,admin.,single,secondary,no,-2000.0,yes,no,telephone,19,oct,1211,5,28,2,failure,0.6922,1,0.3738
CIF000016,66,retired,divorced,primary,no,2188.45,no,no,unknown,29,nov,1376,1,-1,0,failure,0.3932,1,0.3791
CIF000017,49,admin.,married,unknown,no,3706.75,no,no,cellular,30,jun,800,5,-1,2,failure,0.7513,1,0.986
CIF000018,25,blue-collar,married,tertiary,yes,2623.16,no,no,telephone,4,mar,805,7,-1,1,unknown,0.9089,1,0.7709
CIF000019,70,student,single,secondary,no,3395.94,no,no,telephone,24,apr,700,6,-1,0,success,0.7031,1,0.8608
CIF000020,45,management,married,unknown,no,-2000.0,yes,no,cellular,11,oct,1349,4,12,5,other,0.9359,1,0.407
CIF000021,49,management,married,primary,no,2493.12,yes,no,cellular,26,apr,379,4,-1,5,failure,0.5887,1,0.5859
CIF000022,40,retired,divorced,unknown,no,592.14,yes,no,unknown,19,oct,1755,2,-1,5,unknown,0.5771,0,0.4506
CIF000023,29,retired,single,secondary,no,51.63,yes,yes,telephone,22,aug,316,5,-1,0,failure,0.3046,0,0.4503
CIF000024,75,student,single,tertiary,no,4111.67,no,no,telephone,26,jun,829,2,-1,2,failure,0.7096,1,0.1277
CIF000025,66,management,divorced,primary,no,5937.82,no,no,cellular,27,feb,566,3,-1,1,success,0.882,1,0.8421
CIF000026,57,entrepreneur,single,tertiary,no,6883.11,no,yes,cellular,5,jul,1156,2,-1,1,failure,0.6463,1,0.3905
CIF000027,42,admin.,single,tertiary,no,5444.42,no,no,cellular,22,sep,1225,3,-1,2,failure,0.233,1,0.5818
CIF000028,69,entrepreneur,single,unknown,no,1170.8,yes,no,cellular,5,feb,1653,3,-1,3,success,0.5441,1,0.8571
CIF000029,51,retired,single,secondary,no,2558.16,yes,no,unknown,29,oct,1420,1,-1,2,unknown,0.7559,1,0.7735
CIF000030,45,blue-collar,divorced,primary,no,3800.47,yes,yes,telephone,19,mar,447,6,22,1,other,0.9394,1,0.1982
CIF000031,45,retired,single,primary,no,1863.53,no,no,unknown,6,may,371,4,-1,5,failure,0.1566,1,0.6185
CIF000032,32,admin.,single,primary,yes,1892.29,yes,no,telephone,9,jul,1595,7,-1,5,other,0.1275,1,0.4957
CIF000033,23,admin.,single,secondary,no,3971.26,no,no,unknown,27,sep,878,2,-1,1,unknown,0.4129,1,0.2602
CIF000034,52,entrepreneur,married,unknown,no,1322.15,no,no,cellular,20,mar,175,5,-1,1,failure,0.1256,0,0.0409
CIF000035,73,blue-collar,married,primary,no,-687.86,yes,no,unknown,7,may,1484,2,-1,3,failure,0.9804,1,0.6298
CIF000036,21,student,married,primary,no,256.58,yes,yes,telephone,25,oct,1167,4,-1,2,failure,0.4243,0,0.7799
CIF000037,71,entrepreneur,married,primary,no,3401.73,yes,no,cellular,22,apr,46,4,-1,5,unknown,0.5336,1,0.9417
CIF000038,69,entrepreneur,single,secondary,no,1508.98,yes,no,unknown,3,aug,1409,4,-1,2,unknown,0.2271,1,0.355
CIF000039,35,entrepreneur,divorced,tertiary,no,2520.63,yes,no,telephone,9,may,1093,5,-1,0,other,0.4491,1,0.3992
CIF000040,57,blue-collar,divorced,secondary,no,3510.24,no,no,cellular,26,jan,1106,6,28,0,other,0.9847,1,0.163
CIF000041,28,student,divorced,secondary,no,375.48,yes,no,unknown,11,jul,1556,3,-1,0,failure,0.4887,0,0.9846
CIF000042,65,retired,single,primary,no,3768.74,yes,no,telephone,2,may,891,6,-1,2,unknown,0.0088,1,0.8496
CIF000043,61,admin.,married,unknown,no,2636.53,no,no,telephone,19,apr,830,2,-1,1,failure,0.2425,1,0.9576
CIF000044,39,blue-collar,single,primary,no,-2000.0,yes,no,telephone,27,nov,1111,3,-1,5,other,0.9785,1,0.4953
CIF000045,22,admin.,divorced,primary,no,5826.91,no,no,cellular,17,oct,356,3,2,5,other,0.9891,1,0.2098
CIF000046,78,blue-collar,divorced,tertiary,no,-2.23,yes,no,cellular,30,apr,272,7,-1,0,other,0.2105,0,0.5732
CIF000047,45,management,divorced,unknown,no,-2000.0,yes,no,unknown,4,jul,1518,1,-1,5,other,0.6153,1,0.3721
CIF000048,73,student,single,secondary,no,-1635.13,yes,no,telephone,21,sep,388,3,-1,3,success,0.0769,1,0.3479
CIF000049,60,entrepreneur,single,primary,no,-1563.14,yes,yes,unknown,20,jan,907,3,-1,1,success,0.5774,0,0.0824
CIF000050,66,admin.,single,tertiary,no,1656.52,no,yes,cellular,30,feb,485,6,23,2,other,0.1259,1,0.0731
CIF000051,65,admin.,married,secondary,no,678.45,yes,no,telephone,16,jul,414,4,-1,2,success,0.8187,1,0.3788
CIF000052,30,entrepreneur,married,secondary,no,489.5,yes,no,telephone,25,dec,1076,7,9,1,failure,0.9396,1,0.9262
CIF000053,40,blue-collar,married,unknown,no,3359.11,yes,no,cellular,5,dec,1444,6,-1,5,success,0.173,1,0.723
CIF000054,46,management,divorced,unknown,no,2519.63,no,no,unknown,2,jun,795,5,23,0,failure,0.4627,1,0.7606
CIF000055,48,admin.,married,secondary,no,2448.14,yes,no,cellular,22,sep,249,6,-1,0,success,0.102,1,0.2343
CIF000056,20,blue-collar,divorced,tertiary,no,2729.49,yes,no,telephone,1,jun,440,2,-1,1,failure,0.3391,1,0.7345
CIF000057,51,management,single,tertiary,no,3348.4,no,yes,unknown,27,nov,296,4,6,0,failure,0.0651,1,0.4063
CIF000058,27,blue-collar,divorced,unknown,no,-2000.0,no,no,unknown,1,jul,1589,5,-1,0,unknown,0.2645,0,0.0594
CIF000059,64,entrepreneur,married,unknown,no,406.69,yes,no,cellular,21,nov,575,2,-1,2,other,0.9902,1,0.3948
CIF000060,60,blue-collar,married,secondary,no,-2000.0,no,yes,telephone,14,may,673,1,29,2,success,0.0446,1,0.1313
CIF000061,75,admin.,married,primary,no,1608.18,no,no,telephone,20,dec,127,1,-1,0,unknown,0.859,1,0.8537
CIF000062,64,entrepreneur,single,primary,no,1486.1,yes,no,unknown,19,sep,802,6,-1,4,failure,0.0775,1,0.8403
